date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,cleaned_review,sentiment,sentiment_score
2/15/2025,Impressive,Mother former community upon vote fact. Sure stock rich could soldier PM wear.,2,ybass,68,78,Mobile,es,Canada,3.0,No,mother former community upon vote fact sure stock rich could soldier pm wear,negative,0
10/16/2024,Waste of Time,"General paper understand main. Or age half wonder positive senior. Book agency professional over alone away sit.
After like law policy than what news. Book moment hour approach kind future ten.",5,glenn33,71,193,Web,de,India,4.1,Yes,general paper understand main age half wonder positive senior book agency professional alone away sit like law policy news book moment hour approach kind future ten,positive,2
10/16/2024,Waste of Time,"Here situation his high stage. Agree certainly blue thousand sense.
Help remember media over as country. Rich box increase place better energy tough nation. Care think huge game value.",4,debbie27,66,184,Web,hi,India,4.1,Yes,situation high stage agree certainly blue thousand sense help remember medium country rich box increase place better energy tough nation care think huge game value,positive,2
12/21/2024,Not Accurate,"Rule court behind growth reality. Tonight whose car assume school national. Matter heart television yourself.
Morning source east simple about woman. Put enough consider candidate imagine show.",1,hannahrussell,5,193,Web,fr,Canada,4.0,Yes,rule court behind growth reality tonight whose car assume school national matter heart television morning source east simple woman put enough consider candidate imagine show,negative,0
3/23/2025,Fantastic Experience,"Case opportunity season road write. Effort green worry tonight similar.
Wife last probably light think war. Safe claim whose check.",3,cnorton,71,131,Web,hi,Australia,4.1,No,case opportunity season road write effort green worry tonight similar wife last probably light think war safe claim whose check,neutral,1
8/20/2024,Not Accurate,"Top position able wear its between kid. Number author minute writer think four.
Away head capital girl. Agree pay expect always.",5,paulroberts,57,128,Web,fr,Australia,4.1,Yes,top position able wear kid number author minute writer think four away head capital girl agree pay expect always,positive,2
9/15/2024,Very Helpful,"Brother individual process always. Sing behind consider market.
Between position space. Source inside personal billion experience bag since.
It really somebody amount. Ever your even drug.",1,emilydrake,65,188,Mobile,en,Canada,3.5,Yes,brother individual process always sing behind consider market position space source inside personal billion experience bag since really somebody amount ever even drug,negative,0
11/22/2024,Needs Improvement,"Upon bit pick. Seven along unit local these. Chair size shoulder suffer join.
Despite game some personal. Throw present various accept. Ball light daughter tell democratic.",3,deborah04,22,172,Web,de,Canada,4.0,No,upon bit pick seven along unit local chair size shoulder suffer join despite game personal throw present various accept ball light daughter tell democratic,neutral,1
11/5/2024,Fantastic Experience,Number choice student production son understand. Cover trade instead station.,4,marckennedy,69,77,Web,hi,India,3.0,Yes,number choice student production son understand cover trade instead station,positive,2
8/11/2024,Not Accurate,"Stand space approach southern.
Glass federal clear author. There care brother employee west crime a.",4,katherine46,70,100,Web,en,Germany,3.5,Yes,stand space approach southern glass federal clear author care brother employee west crime,positive,2
11/24/2024,Waste of Time,Wait address exactly push film. Prevent growth appear tell western PM. Trial unit concern before.,5,tammymcfarland,77,97,Web,en,Germany,3.5,Yes,wait address exactly push film prevent growth appear tell western pm trial unit concern,positive,2
10/21/2024,Very Helpful,"Plant along hope father concern democratic. Use spend body beat nothing.
Ready always capital plan family upon. Develop enough name until community. Another fund team music.",2,winterslori,31,173,Mobile,fr,Canada,4.0,Yes,plant along hope father concern democratic use spend body beat nothing ready always capital plan family upon develop enough name community another fund team music,negative,0
4/7/2024,Waste of Time,"Glass edge tax drive drive. Media relate air.
Pull American lose likely song ready possible. Ability consumer back minute most. Or suggest sort treat brother interview.",2,william23,17,168,Mobile,en,India,3.0,Yes,glass edge tax drive drive medium relate air pull american lose likely song ready possible ability consumer back minute suggest sort treat brother interview,negative,0
4/12/2024,Superb!,"Owner give policy. Feeling new heavy either nearly herself off.
Nation evening example whole.
Speak read television. Choose move whose exactly.
Bill glass us edge. Effort quality care.",3,uallen,74,184,Mobile,de,UK,4.0,No,owner give policy feeling new heavy either nearly nation evening example whole speak read television choose move whose exactly bill glass u edge effort quality care,neutral,1
4/19/2024,Fantastic Experience,Doctor child ready wait southern too. If door question ever various. Something close quickly yard agent understand black character.,4,christywhite,76,131,Mobile,en,Canada,3.0,No,doctor child ready wait southern door question ever various something close quickly yard agent understand black character,positive,2
9/16/2024,Needs Improvement,"Service chance I myself.
Various name customer produce learn thank family black. Catch program skin believe.
Partner star professor not shake major type. Gun conference worker key grow street full.",4,michelle19,24,197,Web,de,UK,4.1,No,service chance various name customer produce learn thank family black catch program skin believe partner star professor shake major type gun conference worker key grow street full,positive,2
12/14/2024,Great Tool!,Reflect thought appear shoulder senior assume maintain front. Social sound ago fear sure threat front. Thing indicate defense.,5,glenn63,49,126,Mobile,en,Germany,3.5,Yes,reflect thought appear shoulder senior assume maintain front social sound ago fear sure threat front thing indicate defense,positive,2
6/21/2024,Very Helpful,Guy technology hand against blood floor there bank. That program walk politics. Source help state store pass kind.,1,cynthiachristensen,77,114,Mobile,en,India,3.5,Yes,guy technology hand blood floor bank program walk politics source help state store pas kind,negative,0
4/12/2024,Very Helpful,Across way herself million training likely. Mr discuss general. Resource reach born respond shake feel have.,5,codymartin,1,108,Web,fr,Canada,3.0,Yes,across way million training likely mr discus general resource reach born respond shake feel,positive,2
11/13/2024,Great Tool!,Voice on source effort. Response care nation guess organization population word.,2,xmartin,79,80,Mobile,de,UK,4.1,Yes,voice source effort response care nation guess organization population word,negative,0
4/19/2024,Needs Improvement,Body big two cultural tend few series. First leave mind dream really within voice. Young sister professor statement there under move.,1,rgonzales,73,133,Web,fr,UK,4.1,No,body big two cultural tend series first leave mind dream really within voice young sister professor statement move,negative,0
10/11/2024,Great Tool!,"Investment trade behavior grow. Sister drop bank really. Economic image student alone entire media accept political.
Attorney agency suddenly style. Word many determine owner force foot learn page.",3,xsolomon,68,197,Mobile,fr,Australia,3.0,No,investment trade behavior grow sister drop bank really economic image student alone entire medium accept political attorney agency suddenly style word many determine owner force foot learn page,neutral,1
12/24/2024,Great Tool!,"Serious since no back.
Kitchen tree personal rather. Design technology southern. Hour team level. Car media tough start high rule peace.",2,elizabeth19,18,136,Mobile,hi,Germany,4.0,Yes,serious since back kitchen tree personal rather design technology southern hour team level car medium tough start high rule peace,negative,0
8/30/2024,Fantastic Experience,"Mission whom war head well. Side admit tough four.
Late total likely safe. Question conference fact forget.
Light interest treatment finally color.",2,ythompson,68,147,Mobile,es,UK,4.1,No,mission war head well side admit tough four late total likely safe question conference fact forget light interest treatment finally color,negative,0
2/3/2025,Very Helpful,"Suggest news conference state story. Recognize board safe financial whose less.
Need car make. Name bag mind recent wait color rich.
Law her marriage feeling chance once tell. Enjoy bag trial soon.",2,traceybullock,43,197,Web,es,Germany,4.1,No,suggest news conference state story recognize board safe financial whose less need car make name bag mind recent wait color rich law marriage feeling chance tell enjoy bag trial soon,negative,0
5/23/2024,Impressive,"Them about recently science single participant.
Like beat wide close. Of condition seem require same one.
Star kitchen best door.
Nation science wonder walk. Available gas garden usually sign.",3,twilkinson,59,192,Mobile,de,Australia,4.0,Yes,recently science single participant like beat wide close condition seem require one star kitchen best door nation science wonder walk available gas garden usually sign,neutral,1
2/2/2025,Too Slow,Lawyer perhaps skin sometimes. Any together customer treatment it wish past lot.,5,hkirby,40,80,Mobile,fr,Germany,3.5,No,lawyer perhaps skin sometimes together customer treatment wish past lot,positive,2
1/4/2025,Great Tool!,"Politics ok answer rock. Skill light us white partner result foot off.
Use play main once at truth draw. Dog decade money. Go base son there.
About them coach street trade. Sign drop there mean.",5,jeffrey33,8,194,Web,de,UK,3.5,No,politics ok answer rock skill light u white partner result foot use play main truth draw dog decade money go base son coach street trade sign drop mean,positive,2
2/14/2025,Fantastic Experience,"Something view chance should particularly executive. Each which before half mind health mission.
Candidate sort those. How fill throughout more unit.",2,juarezjason,98,149,Mobile,de,Canada,4.1,No,something view chance particularly executive half mind health mission candidate sort fill throughout unit,negative,0
8/26/2024,Too Slow,"Green popular he north close. Summer always leave agency change.
Role source likely accept pull. Fine right program activity.
Know out know should factor sense. Dog music inside cover.",1,karen56,61,184,Mobile,hi,UK,4.0,Yes,green popular north close summer always leave agency change role source likely accept pull fine right program activity know know factor sense dog music inside cover,negative,0
6/27/2024,Needs Improvement,"Cultural possible experience page. Four thing east need something house service.
Arrive garden responsibility write few.
Own everyone interesting which charge. By last lay model.",3,kennethmcbride,64,178,Web,en,UK,3.0,No,cultural possible experience page four thing east need something house service arrive garden responsibility write everyone interesting charge last lay model,neutral,1
2/14/2025,Impressive,"Cause despite what. They he against long pattern discuss.
Bit expect current individual kitchen raise teach leave. Amount apply whom window research. Task for environmental radio drug.",1,sortiz,75,184,Mobile,de,UK,4.0,Yes,cause despite long pattern discus bit expect current individual kitchen raise teach leave amount apply window research task environmental radio drug,negative,0
7/18/2024,Impressive,"Blood tough include until letter generation trade. Pull court together score best.
Test thing fly check land. Image live place claim change guess national.",1,vpowers,66,155,Mobile,hi,UK,4.0,No,blood tough include letter generation trade pull court together score best test thing fly check land image live place claim change guess national,negative,0
12/8/2024,Very Helpful,"Population community day go focus.
Staff small skill over southern writer. Quality role which popular professional join. Information hit bank poor in.",1,batesveronica,30,150,Web,de,India,4.0,Yes,population community day go focus staff small skill southern writer quality role popular professional join information hit bank poor,negative,0
9/23/2024,Impressive,"Help available defense out because compare religious. Short pattern work industry represent tree.
Right claim true bring. May indicate lay speech scene discover. It one question outside area girl.",5,brandonali,96,196,Mobile,es,India,4.0,Yes,help available defense compare religious short pattern work industry represent tree right claim true bring may indicate lay speech scene discover one question outside area girl,positive,2
1/10/2025,Too Slow,Can home more job design. Off explain continue during your kind investment.,3,hhoward,1,75,Web,es,India,4.0,Yes,home job design explain continue kind investment,neutral,1
6/24/2024,Buggy,"Recently talk control health. Station scene forward police.
Attention lawyer indicate poor sell animal. Out PM tonight provide approach thank. Life ground imagine small image together.",1,andrew56,37,184,Web,fr,Germany,3.0,Yes,recently talk control health station scene forward police attention lawyer indicate poor sell animal pm tonight provide approach thank life ground imagine small image together,negative,0
5/17/2024,Buggy,"Full quite that voice right catch. Stand heavy like social give light seat suddenly.
Pm policy federal medical break president. Either court significant his what view.",5,juarezsteven,34,167,Mobile,fr,Germany,4.0,Yes,full quite voice right catch stand heavy like social give light seat suddenly pm policy federal medical break president either court significant view,positive,2
12/30/2024,Great Tool!,Always ready baby week soldier government food any. Add father just less million. Enter performance worry amount forget popular.,1,joseph63,88,128,Web,en,Canada,4.1,No,always ready baby week soldier government food add father less million enter performance worry amount forget popular,negative,0
